name,testers,averageRating,rankingStDev
Thriving Heath,4,3.0,0.0
Thriving Moor,4,3.0,0.0
Thriving Grove,4,3.0,0.0
Thriving Isle,4,3.0,0.0
Thriving Bluff,4,3.0,0.0
Trusty Retriever,2,1.95,0.55
