name,testers,averageRating,rankingStDev
Thriving Heath,4,2.825,0.20463381929681126
Thriving Moor,4,2.825,0.20463381929681126
Thriving Grove,4,2.825,0.20463381929681126
Thriving Isle,4,2.825,0.20463381929681126
Thriving Bluff,4,2.825,0.20463381929681126
Spiteful Prankster,6,2.4833333333333334,0.40994579587496144
Release the Dogs,4,1.9500000000000002,0.4153311931459038
Stone Haven Pilgrim,2,1.85,0.3500000000000001
