name,testers,averageRating,rankingStDev
Fathom Fleet Swordjack,1,1.3,0.0
Natural Reclamation,1,1.3,0.0
Annoyed Altisaur,1,1.3,0.0
"Miara, Thorn of the Glade",1,1.3,0.0
"Kangee, Sky Warden",1,1.2,0.0
Fleshbag Marauder,1,1.2,0.0
Exquisite Huntmaster,1,1.2,0.0
"Eligeth, Crossroads Augur",1,1.2,0.0
Marble Diamond,1,1.2,0.0
Thought Vessel,1,1.2,0.0
Howling Golem,1,1.2,0.0
Sky Diamond,1,1.1,0.0
Abomination of Llanowar,1,1.1,0.0
Vow of Torment,1,1.0,0.0
Charcoal Diamond,1,1.0,0.0
Eyeblight Cullers,1,1.0,0.0
Impulsive Pilferer,1,1.0,0.0
Foundry Inspector,1,1.0,0.0
"Thalisse, Reverent Medium",1,1.0,0.0
Fire Diamond,1,1.0,0.0
Wrong Turn,1,1.0,0.0
Spectral Searchlight,1,1.0,0.0
Slith Ascendant,1,1.0,0.0
