name,testers,averageRating,rankingStDev
"Osgir, the Reconstructor",1,2,0
Archaeomancer's Map,1,2,0
"Felisa, Fang of Silverquill",1,1.6,0
Study Hall,1,1,0
Bronze Guardian,1,1,0
