name,testers,averageRating,rankingStDev,mapLink
Pilgrim of the Ages,4,1.775,0.4548351349665063,/resources/cube-map/?cube=vzd&cube=k3a
Star Pupil,2,1.75,0.050000000000000044,/resources/cube-map/?cube=vzd&cube=k3a
Professor of Symbology,2,1.75,0.25,/resources/cube-map/?cube=9c9&cube=1a
Emergent Sequence,5,1.72,0.5114684741017769,/resources/cube-map/?cube=ygq&cube=380&cube=k3a&cube=13x
Spiteful Squad,2,1.65,0.35,/resources/cube-map/?cube=k3a
Humiliate,1,1.5,0.0,/resources/cube-map/?cube=eap
Introduction to Annihilation,1,1.5,0.0,/resources/cube-map/?cube=1a
Reflective Golem,1,1.5,0.0,/resources/cube-map/?cube=
Eyetwitch,1,1.5,0.0,/resources/cube-map/?cube=1a
Explosive Welcome,1,1.5,0.0,/resources/cube-map/?cube=k3a
Practical Research,1,1.5,0.0,/resources/cube-map/?cube=
Creative Outburst,2,1.5,0.0,/resources/cube-map/?cube=k3a
Necrotic Fumes,1,1.5,0.0,/resources/cube-map/?cube=1a
Introduction to Prophecy,1,1.5,0.0,/resources/cube-map/?cube=1a
Inkling Summoning,1,1.5,0.0,/resources/cube-map/?cube=1a
Brackish Trudge,2,1.5,0.5,/resources/cube-map/?cube=ygq&cube=1a
Sudden Breakthrough,1,1.5,0.0,/resources/cube-map/?cube=k3a
Essence Infusion,1,1.4,0.0,/resources/cube-map/?cube=k3a
Honor Troll,1,1.2,0.0,/resources/cube-map/?cube=ygq
Elemental Summoning,1,1.2,0.0,/resources/cube-map/?cube=1a
Professor of Zoomancy,1,1.2,0.0,/resources/cube-map/?cube=1a
Spell Satchel,1,1.0,0.0,/resources/cube-map/?cube=
Ardent Dustspeaker,1,1.0,0.0,/resources/cube-map/?cube=
Karok Wrangler,1,1.0,0.0,/resources/cube-map/?cube=
