name,testers,averageRating,rankingStDev,mapLink
Spiteful Squad,2,1.75,0.25,/resources/cube-map/?cube=k70
Illuminate History,2,1.75,0.25,/resources/cube-map/?cube=1vv&cube=1hs
Pestilent Cauldron // Restorative Burst,2,1.75,0.25,/resources/cube-map/?cube=c4p&cube=7rs
Study Break,2,1.75,0.25,/resources/cube-map/?cube=1hs
Flamescroll Celebrant // Revel in Silence,15,1.7466666666666664,0.5998518335574395,/resources/cube-map/?cube=1ou&cube=rpx&cube=wt5&cube=1uy&cube=1vv&cube=riz&cube=24c&cube=bw0&cube=1s&cube=dre&cube=78g
Solve the Equation,8,1.725,0.4437059837324712,/resources/cube-map/?cube=wt5&cube=uaf&cube=6ul
Detention Vortex,5,1.72,0.4874423042781576,/resources/cube-map/?cube=5ar&cube=yo0
Blot Out the Sky,16,1.71875,0.5558987655140099,/resources/cube-map/?cube=yo0&cube=nw&cube=1g&cube=1ou&cube=95m&cube=6ul&cube=1hs&cube=bt&cube=bw0&cube=1s&cube=2b1
Reject,10,1.7099999999999997,0.4276680956068619,/resources/cube-map/?cube=yo0&cube=9&cube=wt5&cube=di1&cube=c4p&cube=m78&cube=9od&cube=1s
Campus Guide,1,1.7,0.0,/resources/cube-map/?cube=7u
Double Major,5,1.7,0.2898275349237888,/resources/cube-map/?cube=wt5&cube=91q&cube=6ul
Environmental Sciences,5,1.7,0.4857983120596448,/resources/cube-map/?cube=k70&cube=92t&cube=jvu&cube=1hs
Silverquill Campus,1,1.7,0.0,/resources/cube-map/?cube=
Mentor's Guidance,2,1.7,0.30000000000000004,/resources/cube-map/?cube=
Frost Trickster,8,1.7,0.3807886552931954,/resources/cube-map/?cube=3gh&cube=nw&cube=92t&cube=25y&cube=9od&cube=1s
Devouring Tendrils,2,1.6500000000000001,0.55,/resources/cube-map/?cube=yo0
Ingenious Mastery,2,1.65,0.35,/resources/cube-map/?cube=uaf
Crackle with Power,2,1.65,0.15000000000000002,/resources/cube-map/?cube=uzu
Pillardrop Rescuer,2,1.65,0.15000000000000002,/resources/cube-map/?cube=nw&cube=7u
Resculpt,4,1.625,0.5448623679425842,/resources/cube-map/?cube=uaf&cube=1hs
Deadly Brew,5,1.6199999999999999,0.15999999999999998,/resources/cube-map/?cube=wt5&cube=92t&cube=or&cube=7rs
Flunk,6,1.6166666666666665,0.4058598553961973,/resources/cube-map/?cube=yo0&cube=1vv&cube=or&cube=u86
"Mavinda, Students' Advocate",6,1.6166666666666665,0.7080881928749335,/resources/cube-map/?cube=b8&cube=c4p&cube=69&cube=u86&cube=1hs
Crushing Disappointment,1,1.6,0.0,/resources/cube-map/?cube=
Beaming Defiance,2,1.6,0.4,/resources/cube-map/?cube=3gh
Necrotic Fumes,3,1.5999999999999999,0.32659863237109044,/resources/cube-map/?cube=wt5&cube=1hs
"Blex, Vexing Pest // Search for Blex",4,1.575,0.3344772040064913,/resources/cube-map/?cube=1ou&cube=1so
Fervent Mastery,3,1.5666666666666667,0.4921607686744468,/resources/cube-map/?cube=1vv&cube=uaf&cube=qlo
Maelstrom Muse,2,1.55,0.44999999999999996,/resources/cube-map/?cube=u86
Witherbloom Apprentice,4,1.5499999999999998,0.206155281280883,/resources/cube-map/?cube=k4a
Quandrix Cultivator,2,1.5499999999999998,0.35,/resources/cube-map/?cube=kk7
Sudden Breakthrough,3,1.5333333333333332,0.36817870057290863,/resources/cube-map/?cube=92t
Illustrious Historian,1,1.5,0.0,/resources/cube-map/?cube=
Heated Debate,2,1.5,0.5,/resources/cube-map/?cube=
Body of Research,1,1.5,0.0,/resources/cube-map/?cube=
Eager First-Year,1,1.5,0.0,/resources/cube-map/?cube=
Start from Scratch,1,1.5,0.0,/resources/cube-map/?cube=1hs
Aether Helix,1,1.5,0.0,/resources/cube-map/?cube=
Hall Monitor,3,1.5,0.0,/resources/cube-map/?cube=3gh&cube=8am
Overgrown Arch,1,1.5,0.0,/resources/cube-map/?cube=1hs
Field Trip,1,1.5,0.0,/resources/cube-map/?cube=1hs
Letter of Acceptance,1,1.5,0.0,/resources/cube-map/?cube=j15
Promising Duskmage,2,1.5,0.0,/resources/cube-map/?cube=k70
Secret Rendezvous,3,1.4666666666666668,0.36817870057290863,/resources/cube-map/?cube=f47&cube=uaf
Go Blank,6,1.45,0.24324199198877372,/resources/cube-map/?cube=yo0&cube=4gr
Specter of the Fens,1,1.4,0.0,/resources/cube-map/?cube=
Access Tunnel,2,1.4,0.20000000000000007,/resources/cube-map/?cube=3gh
Guiding Voice,3,1.3666666666666665,0.26246692913372704,/resources/cube-map/?cube=k70&cube=1hs
Tenured Inkcaster,2,1.35,0.15000000000000002,/resources/cube-map/?cube=6ul
First Day of Class,2,1.35,0.35,/resources/cube-map/?cube=k70
Mage Hunter,2,1.35,0.15000000000000002,/resources/cube-map/?cube=
Show of Confidence,5,1.34,0.27999999999999997,/resources/cube-map/?cube=yo0&cube=k70&cube=f47&cube=u86&cube=6ul
Pilgrim of the Ages,1,1.3,0.0,/resources/cube-map/?cube=7u
Fortifying Draught,2,1.3,0.19999999999999996,/resources/cube-map/?cube=f47
Stonebinder's Familiar,6,1.3,0.21602468994692867,/resources/cube-map/?cube=nw&cube=f47&cube=c4p&cube=or&cube=2b1&cube=7rs
"Kianne, Dean of Substance // Imbraham, Dean of Theory",3,1.2666666666666668,0.24944382578492946,/resources/cube-map/?cube=1ou&cube=1so
Arrogant Poet,3,1.2666666666666668,0.16996731711975946,/resources/cube-map/?cube=6ul
Expel,3,1.2666666666666666,0.20548046676563256,/resources/cube-map/?cube=
Teachings of the Archaics,2,1.25,0.25,/resources/cube-map/?cube=yo0&cube=1hs
Unwilling Ingredient,2,1.25,0.25,/resources/cube-map/?cube=yo0&cube=1hs
Team Pennant,4,1.225,0.2861380785564899,/resources/cube-map/?cube=yo0&cube=8am&cube=6ul
Augmenter Pugilist // Echoing Equation,4,1.225,0.3897114317029974,/resources/cube-map/?cube=yo0&cube=1ou&cube=1hs
Harness Infinity,1,1.2,0.0,/resources/cube-map/?cube=c4p
Reflective Golem,2,1.1,0.09999999999999998,/resources/cube-map/?cube=u86
Stonerise Spirit,2,1.1,0.09999999999999998,/resources/cube-map/?cube=nw
Mascot Interception,1,1.1,0.0,/resources/cube-map/?cube=yo0
Defend the Campus,1,1.0,0.0,/resources/cube-map/?cube=6ul
Burrog Befuddler,1,1.0,0.0,/resources/cube-map/?cube=6ul
Practical Research,1,1.0,0.0,/resources/cube-map/?cube=nw
Enthusiastic Study,1,1.0,0.0,/resources/cube-map/?cube=
Golden Ratio,1,1.0,0.0,/resources/cube-map/?cube=
Tome Shredder,1,1.0,0.0,/resources/cube-map/?cube=nw
