Color,Deck_Spread,Card_Spread
B,0.19763313609467456,0.40296030766487934
G,0.1467455621301775,0.5673169498312519
R,0.19171597633136095,0.4427211168296272
U,0.285207100591716,0.36552164693816896
W,0.178698224852071,0.44433279101011774
