Archetype,Num,Win,Loss,Win %
Aggro,99,429,323,0.5704787234042553
Combo,31,120,114,0.5128205128205128
Control,133,475,518,0.4783484390735146
Midrange,167,642,644,0.49922239502332816
Ramp,62,294,210,0.5833333333333334
Reanimator,24,73,93,0.4397590361445783
